                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 110.14,                      0,                      0,                      0,                      0,                      0,                      0,                 131.61,                      0,                0.00016,                0.00016,                0.00016
                      2,                      0,                 104.49,                      0,                      0,                      0,                      0,                      0,                      0,                 131.41,                      0,             0.00033663,             0.00033663,             0.00033663
                      3,                      0,                 89.522,                      0,                      0,                      0,                      0,                      0,                      0,                 129.06,                      0,              0.0005097,              0.0005097,              0.0005097
                      4,                      0,                 78.543,                      0,                      0,                      0,                      0,                      0,                      0,                 124.83,                      0,             0.00067921,             0.00067921,             0.00067921
                      5,                      0,                 75.641,                      0,                      0,                      0,                      0,                      0,                      0,                 93.497,                      0,             0.00084515,             0.00084515,             0.00084515
                      6,                      0,                 68.764,                      0,                      0,                      0,                      0,                      0,                      0,                 67.699,                      0,              0.0010075,              0.0010075,              0.0010075
                      7,                      0,                 64.523,                      0,                      0,                      0,                      0,                      0,                      0,                 64.523,                      0,              0.0011663,              0.0011663,              0.0011663
                      8,                      0,                 60.467,                      0,                      0,                      0,                      0,                      0,                      0,                 55.727,                      0,              0.0013216,              0.0013216,              0.0013216
                      9,                      0,                 57.506,                      0,                      0,                      0,                      0,                      0,                      0,                 43.698,                      0,              0.0014733,              0.0014733,              0.0014733
                     10,                      0,                 53.498,                      0,                      0,                      0,                      0,                      0,                      0,                 44.222,                      0,              0.0016214,              0.0016214,              0.0016214
                     11,                      0,                 50.258,                      0,                      0,                      0,                      0,                      0,                      0,                 41.396,                      0,               0.001766,               0.001766,               0.001766
                     12,                      0,                 47.172,                      0,                      0,                      0,                      0,                      0,                      0,                 85.256,                      0,              0.0017822,              0.0017822,              0.0017822
                     13,                      0,                 44.383,                      0,                      0,                      0,                      0,                      0,                      0,                 29.234,                      0,              0.0017822,              0.0017822,              0.0017822
                     14,                      0,                 41.142,                      0,                      0,                      0,                      0,                      0,                      0,                  30.95,                      0,              0.0017624,              0.0017624,              0.0017624
                     15,                      0,                 38.502,                      0,                      0,                      0,                      0,                      0,                      0,                 30.706,                      0,              0.0017426,              0.0017426,              0.0017426
                     16,                      0,                 35.882,                      0,                      0,                      0,                      0,                      0,                      0,                 29.461,                      0,              0.0017228,              0.0017228,              0.0017228
                     17,                      0,                 33.175,                      0,                      0,                      0,                      0,                      0,                      0,                 27.443,                      0,               0.001703,               0.001703,               0.001703
                     18,                      0,                 30.824,                      0,                      0,                      0,                      0,                      0,                      0,                 27.738,                      0,              0.0016832,              0.0016832,              0.0016832
                     19,                      0,                 28.528,                      0,                      0,                      0,                      0,                      0,                      0,                 25.541,                      0,              0.0016634,              0.0016634,              0.0016634
