                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0857,                 8.7172,                 2.6073,                      0,                      0,                      0,                      0,                 3.7299,                 7.6418,                 2.0334,                0.00012,                0.00012,                0.00012
                      2,                 2.8829,                 6.3424,                 1.8257,                0.00333,                      1,                0.00899,                 0.0038,                 1.9967,                 5.3798,                 1.3788,             0.00025743,             0.00025743,             0.00025743
                      3,                 1.9936,                 3.3441,                 1.3259,                0.00303,                0.90909,                0.00592,                0.00222,                 1.8415,                 4.7224,                 1.2494,             0.00039208,             0.00039208,             0.00039208
                      4,                 1.7378,                 2.5918,                 1.1635,                0.00333,                      1,                0.00804,                 0.0023,                 1.8566,                 4.5262,                 1.3267,             0.00052396,             0.00052396,             0.00052396
                      5,                 1.7889,                 2.5404,                 1.1457,                0.00121,                0.36364,                0.00129,                0.00051,                 1.8248,                 4.7075,                 1.4008,             0.00065307,             0.00065307,             0.00065307
                      6,                 1.6526,                 2.2793,                 1.1598,                0.00242,                0.72727,                0.00512,                0.00126,                 1.6567,                 4.5637,                 1.2741,             0.00077941,             0.00077941,             0.00077941
                      7,                 1.6574,                 2.1967,                 1.1712,                0.00242,                0.72727,                0.00609,                0.00229,                 1.6066,                 4.4003,                 1.2349,             0.00090298,             0.00090298,             0.00090298
                      8,                 1.6985,                 1.9324,                 1.1459,                0.00333,                      1,                0.00912,                0.00459,                 1.7598,                 3.9024,                 1.1625,              0.0010238,              0.0010238,              0.0010238
                      9,                 1.6386,                  2.046,                 1.1598,                0.00333,                      1,                 0.6171,                0.30927,                 1.6638,                 3.0467,                 1.2136,              0.0011418,              0.0011418,              0.0011418
                     10,                   1.63,                 1.8284,                 1.1198,                0.07785,                      1,                 0.9875,                0.30545,                   1.94,                 2.9536,                 1.2692,               0.001257,               0.001257,               0.001257
                     11,                 1.6206,                 1.8269,                 1.1253,                0.00333,                      1,                0.84174,                0.39697,                 1.6693,                 3.0846,                 1.1414,              0.0013695,              0.0013695,              0.0013695
                     12,                 1.5775,                 1.7099,                 1.1237,                0.51943,                0.45455,                0.67145,                0.28303,                 1.7381,                 2.8949,                 1.2461,              0.0014792,              0.0014792,              0.0014792
                     13,                  1.625,                 1.7474,                 1.1471,                0.00333,                      1,                0.56291,                 0.2413,                 1.6458,                 2.9266,                 1.2806,              0.0015862,              0.0015862,              0.0015862
                     14,                 1.5859,                 1.5588,                 1.1247,                 0.6531,                0.68656,                0.79289,                0.45464,                 1.4969,                 2.7785,                 1.2703,              0.0016903,              0.0016903,              0.0016903
                     15,                  1.543,                 1.4663,                 1.1588,                0.00333,                      1,                0.19937,                0.11932,                 1.5078,                  3.297,                 1.1846,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5001,                 1.5464,                 1.1944,                0.90713,                0.63636,                0.93869,                0.52899,                 1.4252,                 2.2135,                 1.1809,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4684,                 1.3906,                 1.1023,                      1,                0.80128,                0.93923,                0.52741,                 1.4897,                 1.7976,                 1.1762,               0.001703,               0.001703,               0.001703
                     18,                 1.5625,                 1.4579,                 1.1873,                0.72007,                0.63636,                0.85923,                0.52827,                  1.381,                 1.8307,                 1.1564,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.6252,                 1.4374,                 1.1647,                0.88355,                0.90909,                0.92662,                0.58484,                 1.3488,                 1.7189,                 1.1155,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.5997,                 1.4261,                 1.1699,                0.93001,                0.90909,                 0.9875,                0.56756,                 1.4537,                 1.7067,                 1.1379,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.505,                 1.3442,                 1.1281,                 0.7314,                      1,                  0.965,                  0.568,                 1.4179,                 1.7882,                 1.1674,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.5215,                 1.3212,                 1.1523,                0.83689,                      1,                0.94031,                0.47962,                 1.5092,                 1.9162,                 1.1871,               0.001604,               0.001604,               0.001604
                     23,                 1.5171,                 1.2751,                 1.1013,                      1,                0.97803,                  0.995,                0.57947,                 1.4675,                 1.7927,                 1.1528,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.5697,                 1.2977,                 1.1302,                0.99335,                      1,                  0.995,                0.56022,                 1.4586,                 1.3103,                 1.1505,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.5732,                 1.3051,                 1.1071,                0.99012,                      1,                  0.995,                0.51681,                  1.644,                 1.1963,                 1.1805,              0.0015446,              0.0015446,              0.0015446
                     26,                  1.541,                 1.2298,                 1.1464,                0.99492,                      1,                  0.995,                0.58359,                 1.5065,                 1.0886,                 1.1806,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.4975,                 1.1462,                 1.1208,                0.99356,                      1,                  0.995,                0.60942,                  1.369,                0.95497,                 1.1436,               0.001505,               0.001505,               0.001505
                     28,                 1.5043,                 1.1517,                 1.1046,                0.99454,                      1,                  0.995,                0.59422,                  1.379,                 1.1007,                 1.1146,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.4716,                 1.1625,                 1.0817,                      1,                0.97339,                  0.995,                0.62376,                 1.3844,                 1.1401,                 1.1071,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4825,                 1.1139,                  1.098,                 0.9876,                      1,                  0.995,                0.65828,                 1.2922,                 1.0541,                 1.0917,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.4021,                 1.0286,                 1.0993,                 0.9891,                      1,                  0.995,                0.64232,                 1.3377,                 1.0064,                 1.0898,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4755,                 1.0648,                 1.1291,                0.98809,                      1,                  0.995,                0.68322,                 1.3287,                0.97631,                 1.1286,               0.001406,               0.001406,               0.001406
                     33,                 1.4227,                0.98852,                 1.1192,                0.98816,                      1,                  0.995,                0.63231,                 1.3947,                0.97249,                 1.1517,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.4316,                 1.0304,                 1.0722,                0.98412,                      1,                  0.995,                0.56029,                 1.4326,                0.98678,                 1.1646,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.3986,                0.98149,                 1.0581,                0.98199,                      1,                  0.995,                0.60432,                  1.351,                0.93717,                 1.1291,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.5756,                 1.0546,                 1.1156,                0.95103,                      1,                  0.995,                0.62715,                 1.4976,                0.93427,                 1.1704,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4559,                 1.0019,                 1.0605,                0.91019,                      1,                  0.995,                0.65953,                 1.3997,                0.90369,                 1.1475,               0.001307,               0.001307,               0.001307
                     38,                 1.4617,                0.99214,                 1.0705,                0.98729,                      1,                  0.995,                0.65146,                 1.2732,                0.86932,                 1.0781,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4809,                 1.0098,                 1.0499,                      1,                0.98085,                  0.995,                0.57179,                 1.3414,                0.95924,                 1.0826,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3725,                0.91865,                 1.0518,                0.97896,                0.90909,                 0.9875,                0.57745,                 1.3415,                0.93762,                 1.0926,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3683,                0.98203,                 1.0678,                      1,                0.97471,                  0.995,                0.61439,                  1.319,                0.88599,                  1.087,              0.0012278,              0.0012278,              0.0012278
