                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.4232,                0.96102,                  1.068,                 0.9885,                      1,                  0.995,                0.62178,                 1.3406,                0.88848,                 1.0959,               0.001208,               0.001208,               0.001208
                     43,                 1.4565,                0.92806,                 1.0722,                0.99277,                      1,                  0.995,                0.57207,                 1.5839,                 0.9117,                 1.1571,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.4036,                0.88059,                 1.0294,                0.99164,                      1,                  0.995,                0.49489,                 1.6406,                0.96433,                 1.1399,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.4416,                0.87332,                 1.0717,                0.99234,                      1,                  0.995,                0.48609,                 1.6746,                0.96594,                 1.1484,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3684,                 0.8864,                 1.0618,                0.91659,                0.99907,                   0.98,                 0.5595,                 1.4928,                0.83806,                 1.1174,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.403,                 0.9118,                 1.0654,                0.86726,                      1,                   0.98,                0.56538,                 1.6439,                  0.882,                 1.1499,               0.001109,               0.001109,               0.001109
                     48,                 1.3092,                0.86791,                 1.0749,                0.87369,                      1,                 0.9875,                0.56932,                  1.564,                0.88429,                 1.1337,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3285,                0.90749,                  1.038,                0.91009,                0.92103,                 0.9875,                0.58139,                 1.4802,                0.86194,                 1.1038,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.3599,                0.88904,                  1.047,                0.95466,                      1,                  0.995,                0.53061,                 1.4576,                0.89789,                 1.0954,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.506,                0.94301,                 1.0926,                0.95465,                      1,                  0.995,                0.55492,                 1.4003,                0.84247,                  1.087,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3975,                0.88649,                 1.0408,                0.97822,                      1,                  0.995,                0.58982,                 1.3624,                0.82554,                  1.055,                0.00101,                0.00101,                0.00101
                     53,                 1.3613,                0.84959,                 1.0173,                0.97898,                      1,                  0.995,                0.59308,                 1.4144,                0.77142,                 1.0618,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.4035,                0.85742,                  1.049,                0.97896,                      1,                  0.995,                0.63343,                 1.3313,                0.70713,                 1.0565,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.375,                0.88436,                 1.0589,                 0.9723,                      1,                  0.995,                0.70539,                 1.1101,                0.70797,                 1.0462,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3876,                0.84366,                 1.0494,                0.98673,                      1,                  0.995,                0.69341,                 1.1604,                0.67992,                 1.0488,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4121,                0.81722,                 1.0825,                0.92775,                      1,                  0.995,                 0.6712,                  1.151,                0.68984,                 1.0493,               0.000911,               0.000911,               0.000911
                     58,                 1.3997,                0.83301,                 1.0609,                0.93631,                      1,                  0.995,                0.66027,                 1.1719,                0.69471,                 1.0551,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3209,                0.80085,                 1.0474,                0.97926,                      1,                  0.995,                0.65892,                 1.1398,                0.66915,                 1.0288,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.3166,                0.76922,                 1.0414,                0.92445,                      1,                  0.995,                0.68267,                 1.1549,                0.64748,                 1.0365,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.282,                0.75319,                 1.0167,                 0.9145,                      1,                  0.995,                0.68742,                 1.1689,                0.65146,                 1.0404,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3568,                0.77848,                 1.0507,                0.98485,                      1,                  0.995,                0.66631,                 1.2854,                 0.6877,                 1.0585,               0.000812,               0.000812,               0.000812
                     63,                 1.3902,                0.79543,                 1.0272,                0.96172,                      1,                  0.995,                0.64168,                 1.1683,                0.72753,                 1.0548,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2541,                0.76764,                0.99123,                0.97901,                      1,                  0.995,                 0.6547,                 1.0484,                0.73488,                 1.0149,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2622,                0.77558,                 1.0304,                0.83499,                      1,                   0.98,                0.63392,                 1.1628,                0.72113,                 1.0181,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.3459,                0.78675,                 1.0373,                0.89888,                      1,                   0.98,                0.67597,                 1.2008,                0.72506,                 1.0151,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.3592,                 0.7772,                 1.0456,                0.91306,                      1,                  0.995,                0.71421,                 1.0921,                0.67547,                 1.0103,               0.000713,               0.000713,               0.000713
                     68,                 1.2729,                0.75596,                 1.0326,                0.93604,                      1,                  0.995,                0.74163,                 1.0401,                0.63671,                0.98625,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2795,                0.74282,                0.98307,                0.96228,                      1,                  0.995,                0.71718,                 1.1426,                0.63242,                0.99483,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.3196,                0.76872,                 1.0112,                0.96367,                      1,                  0.995,                0.67923,                 1.1672,                0.66944,                 1.0195,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2167,                0.75904,                0.98617,                0.93452,                      1,                  0.995,                 0.6962,                 1.0591,                0.63861,                  1.029,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2914,                0.78917,                 1.0466,                0.94828,                      1,                  0.995,                0.72752,                 1.0458,                0.61487,                 1.0066,               0.000614,               0.000614,               0.000614
                     73,                 1.3054,                0.73745,                 1.0111,                0.96597,                      1,                  0.995,                 0.6978,                  1.069,                0.60105,                0.99704,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1974,                0.72572,                0.96949,                0.96737,                      1,                  0.995,                0.74354,                 1.0921,                0.58171,                0.99593,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2489,                0.73574,                 1.0135,                0.97766,                      1,                  0.995,                0.71518,                 1.0304,                0.58296,                0.99983,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.2723,                0.72718,                0.99149,                0.98345,                      1,                  0.995,                0.76018,                0.99439,                 0.6008,                0.98868,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2574,                0.70319,                 1.0284,                0.98407,                      1,                  0.995,                0.73238,                 1.0444,                0.60479,                 0.9857,               0.000515,               0.000515,               0.000515
                     78,                 1.1805,                0.70412,                0.95966,                0.98584,                      1,                  0.995,                0.70696,                 1.0763,                0.60212,                0.98656,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.2745,                  0.711,                 1.0108,                0.99325,                      1,                  0.995,                0.75156,                 0.9707,                0.58947,                0.97226,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2648,                0.71147,                 1.0006,                0.98365,                      1,                  0.995,                0.77294,                0.95067,                0.61161,                0.97068,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.2386,                0.73657,                0.99094,                0.98179,                      1,                  0.995,                0.74564,                0.95879,                0.60572,                0.97095,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2559,                0.72214,                 1.0037,                0.98891,                      1,                  0.995,                0.70117,                 1.0473,                0.59815,                0.98253,               0.000416,               0.000416,               0.000416
                     83,                 1.2312,                0.68682,                 1.0022,                0.98919,                      1,                  0.995,                0.69573,                 1.0849,                0.59265,                0.98182,              0.0003962,              0.0003962,              0.0003962
                     84,                  1.231,                0.71539,                 0.9906,                0.99012,                      1,                  0.995,                0.73725,                0.98308,                0.57141,                0.97447,              0.0003764,              0.0003764,              0.0003764
                     85,                  1.232,                0.66411,                0.98721,                0.99072,                      1,                  0.995,                0.74736,                0.94826,                 0.5611,                0.96857,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.2021,                0.69239,                  0.982,                0.98111,                      1,                  0.995,                0.75414,                0.94811,                0.56085,                0.96863,              0.0003368,              0.0003368,              0.0003368
                     87,                  1.166,                0.67704,                0.99404,                0.98202,                      1,                  0.995,                0.74603,                0.95362,                0.56434,                0.97168,               0.000317,               0.000317,               0.000317
                     88,                 1.1581,                0.65908,                0.98674,                0.98386,                      1,                  0.995,                0.76279,                0.93482,                0.54471,                0.97012,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.2216,                0.69721,                0.97048,                 0.9842,                      1,                  0.995,                0.75883,                0.92607,                0.54172,                0.96932,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.1892,                  0.644,                0.97457,                0.98598,                      1,                  0.995,                0.77452,                0.90617,                0.53021,                0.96877,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1809,                 0.7207,                  1.034,                0.98752,                      1,                  0.995,                0.74821,                 0.9293,                 0.5126,                0.97514,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.1722,                0.71867,                 1.0045,                0.99321,                      1,                  0.995,                0.73612,                0.93977,                0.50472,                0.97811,               0.000218,               0.000218,               0.000218
                     93,                 1.1418,                0.70086,                0.99677,                0.99305,                      1,                  0.995,                0.73608,                0.94022,                0.51679,                0.98047,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.1381,                0.67375,                 1.0381,                0.99296,                      1,                  0.995,                0.75793,                0.95185,                0.52397,                0.97868,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.1369,                 0.7135,                 1.0116,                 0.9932,                      1,                  0.995,                0.77348,                0.95051,                0.51891,                0.97462,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.1642,                0.68844,                 1.0141,                0.99333,                      1,                  0.995,                0.78065,                0.94571,                0.53567,                0.97652,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.1298,                0.68101,                 1.0143,                0.99353,                      1,                  0.995,                0.76416,                0.95354,                0.52971,                0.97827,               0.000119,               0.000119,               0.000119
                     98,                 1.1342,                 0.6651,                 1.0201,                 0.9936,                      1,                  0.995,                 0.7694,                0.94741,                0.53815,                0.97733,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.1287,                0.70367,                 1.0275,                0.99367,                      1,                  0.995,                0.76914,                0.96032,                0.53677,                   0.98,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.1143,                0.69056,                0.99863,                0.99354,                      1,                  0.995,                0.77775,                0.96748,                0.54149,                0.98142,               5.96e-05,               5.96e-05,               5.96e-05
