                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 98.498,                      0,                      0,                      0,                      0,                      0,                      0,                  130.5,                      0,                  2e-05,                  2e-05,                  2e-05
                      2,                      0,                 98.495,                      0,                      0,                      0,                      0,                      0,                      0,                  130.5,                      0,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                      0,                 98.612,                      0,                      0,                      0,                      0,                      0,                      0,                 130.25,                      0,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                      0,                 98.717,                      0,                      0,                      0,                      0,                      0,                      0,                    130,                      0,             0.00013584,             0.00013584,             0.00013584
                      5,                      0,                 98.597,                      0,                      0,                      0,                      0,                      0,                      0,                 130.62,                      0,             0.00017287,             0.00017287,             0.00017287
                      6,                      0,                 95.792,                      0,                      0,                      0,                      0,                      0,                      0,                 130.75,                      0,             0.00020911,             0.00020911,             0.00020911
                      7,                      0,                 93.574,                      0,                      0,                      0,                      0,                      0,                      0,                 130.38,                      0,             0.00024456,             0.00024456,             0.00024456
                      8,                      0,                 89.255,                      0,                      0,                      0,                      0,                      0,                      0,                 130.25,                      0,             0.00027921,             0.00027921,             0.00027921
                      9,                      0,                 84.818,                      0,                      0,                      0,                      0,                      0,                      0,                 130.12,                      0,             0.00031307,             0.00031307,             0.00031307
                     10,                      0,                 82.142,                      0,                      0,                      0,                      0,                      0,                      0,                 130.12,                      0,             0.00034614,             0.00034614,             0.00034614
                     11,                      0,                 79.797,                      0,                      0,                      0,                      0,                      0,                      0,                    130,                      0,             0.00037842,             0.00037842,             0.00037842
                     12,                      0,                 77.138,                      0,                      0,                      0,                      0,                      0,                      0,                 129.62,                      0,             0.00040991,             0.00040991,             0.00040991
                     13,                      0,                 74.978,                      0,                      0,                      0,                      0,                      0,                      0,                 129.25,                      0,              0.0004406,              0.0004406,              0.0004406
                     14,                      0,                 73.074,                      0,                      0,                      0,                      0,                      0,                      0,                 128.62,                      0,              0.0004705,              0.0004705,              0.0004705
                     15,                      0,                 71.255,                      0,                      0,                      0,                      0,                      0,                      0,                 126.62,                      0,             0.00049961,             0.00049961,             0.00049961
                     16,                      0,                 68.699,                      0,                      0,                      0,                      0,                      0,                      0,                 124.69,                      0,             0.00052793,             0.00052793,             0.00052793
                     17,                      0,                  67.92,                      0,                      0,                      0,                      0,                      0,                      0,                 123.12,                      0,             0.00055546,             0.00055546,             0.00055546
                     18,                      0,                 66.372,                      0,                      0,                      0,                      0,                      0,                      0,                 117.88,                      0,             0.00058219,             0.00058219,             0.00058219
                     19,                      0,                 65.364,                      0,                      0,                      0,                      0,                      0,                      0,                 112.81,                      0,             0.00060813,             0.00060813,             0.00060813
                     20,                      0,                 64.909,                      0,                      0,                      0,                      0,                      0,                      0,                 108.81,                      0,             0.00063328,             0.00063328,             0.00063328
                     21,                      0,                 62.939,                      0,                      0,                      0,                      0,                      0,                      0,                 101.06,                      0,             0.00065764,             0.00065764,             0.00065764
                     22,                      0,                 62.861,                      0,                      0,                      0,                      0,                      0,                      0,                   92.5,                      0,             0.00068121,             0.00068121,             0.00068121
                     23,                      0,                 61.879,                      0,                      0,                      0,                      0,                      0,                      0,                 83.375,                      0,             0.00070398,             0.00070398,             0.00070398
                     24,                      0,                  64.05,                      0,                      0,                      0,                      0,                      0,                      0,                 77.438,                      0,             0.00072596,             0.00072596,             0.00072596
                     25,                      0,                 66.881,                      0,                      0,                      0,                      0,                      0,                      0,                   73.5,                      0,             0.00074715,             0.00074715,             0.00074715
                     26,                      0,                 63.826,                      0,                      0,                      0,                      0,                      0,                      0,                 75.938,                      0,             0.00076755,             0.00076755,             0.00076755
