                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1494,                 4.0415,                 2.7639,                      0,                      0,                      0,                      0,                 3.3248,                 3.9785,                  3.077,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.9718,                 3.9321,                 2.6149,                  0.002,                0.14286,                0.00134,                0.00038,                 3.6146,                 3.8947,                 3.3036,             0.00016555,             0.00016555,             0.00016555
                      3,                 2.5747,                 2.9397,                 2.2015,                0.00267,                0.19048,                0.00214,                 0.0006,                 3.5504,                 3.8937,                 3.2923,              0.0001717,              0.0001717,              0.0001717
                      4,                 2.3539,                 2.2815,                 1.9235,                0.00133,                0.09524,                0.00096,                0.00014,                 3.7089,                 3.9236,                 3.3923,             0.00011845,             0.00011845,             0.00011845
