                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3853,                 8.8796,                 2.7541,                      0,                      0,                      0,                      0,                  3.819,                 7.8087,                 2.0842,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.8031,                 6.0941,                 1.7863,                0.00152,                0.45455,                 0.0013,                0.00032,                  2.696,                 5.4042,                 1.8135,             0.00021782,             0.00021782,             0.00021782
                      3,                 2.0663,                 3.5553,                  1.271,                0.00333,                      1,                0.01028,                0.00458,                 2.2363,                 5.0596,                 1.4902,             0.00033327,             0.00033327,             0.00033327
                      4,                  1.923,                 3.0263,                 1.1879,                0.00212,                0.63636,                0.00417,                0.00114,                 2.3464,                 5.4603,                 1.6416,             0.00044634,             0.00044634,             0.00044634
                      5,                 1.6805,                 2.4206,                 1.2195,                 0.0003,                0.09091,                 0.0002,                  8e-05,                 2.4267,                 5.4865,                 1.6637,             0.00055703,             0.00055703,             0.00055703
                      6,                 1.7861,                 2.3184,                 1.1705,                 0.0003,                0.09091,                 0.0002,                  8e-05,                  1.989,                 5.0208,                 1.5349,             0.00066535,             0.00066535,             0.00066535
                      7,                 1.7998,                 2.0897,                 1.1639,                 0.0003,                0.09091,                 0.0002,                  8e-05,                 1.8135,                 4.8536,                 1.4073,             0.00077129,             0.00077129,             0.00077129
                      8,                 1.6874,                 2.0697,                 1.0937,                 0.0003,                0.09091,                 0.0002,                  8e-05,                 1.7825,                 4.7358,                 1.3822,             0.00087486,             0.00087486,             0.00087486
                      9,                 1.6694,                  2.112,                  1.144,                0.00212,                0.63636,                 0.0038,                0.00065,                 1.8445,                 4.4694,                 1.3959,             0.00097605,             0.00097605,             0.00097605
                     10,                 1.5885,                 1.9789,                 1.1158,                0.00303,                0.90909,                0.00532,                0.00122,                 1.8131,                 4.2194,                 1.3192,              0.0010749,              0.0010749,              0.0010749
                     11,                 1.6704,                 1.9929,                 1.1052,                0.00333,                      1,                0.05756,                0.00948,                  1.752,                 3.8979,                 1.3739,              0.0011713,              0.0011713,              0.0011713
                     12,                 1.5954,                 1.8037,                 1.1113,                0.00333,                      1,                0.63936,                0.22644,                  1.985,                  3.917,                 1.4126,              0.0012654,              0.0012654,              0.0012654
                     13,                 1.5281,                 1.7347,                 1.1397,                0.00333,                      1,                0.66606,                0.32112,                 1.7996,                 3.5974,                 1.3445,               0.001357,               0.001357,               0.001357
                     14,                 1.5803,                 1.6995,                 1.1347,                0.89077,                0.63636,                0.88971,                0.16455,                 2.3089,                 3.1952,                 1.4406,              0.0014464,              0.0014464,              0.0014464
                     15,                 1.5826,                 1.6185,                 1.0951,                0.61309,                0.72727,                0.74526,                0.22911,                 2.3478,                 3.2321,                 1.4422,              0.0015333,              0.0015333,              0.0015333
                     16,                 1.6037,                 1.6349,                 1.1117,                0.00333,                      1,                0.43814,                0.20166,                  2.161,                 3.5444,                 1.5155,              0.0016179,              0.0016179,              0.0016179
                     17,                 1.4871,                 1.5542,                 1.0946,                0.00333,                      1,                0.47288,                0.21676,                 1.9684,                  3.237,                 1.4578,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5569,                 1.5802,                  1.109,                0.50278,                0.54545,                0.62642,                  0.248,                 1.7846,                 2.9309,                 1.3648,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.6407,                  1.516,                   1.13,                0.76649,                0.30271,                0.74954,                0.35075,                  1.788,                 2.5028,                 1.3134,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.6039,                  1.509,                 1.1139,                  0.691,                0.27273,                0.69568,                0.25885,                   2.07,                 2.5399,                 1.4212,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.4943,                 1.4091,                 1.0971,                0.76084,                0.29243,                0.76868,                 0.3097,                 1.9791,                 2.4452,                 1.4374,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.5674,                 1.3368,                 1.1492,                      1,                0.16776,                0.64529,                 0.2274,                 1.9696,                 2.8708,                 1.4951,               0.001604,               0.001604,               0.001604
                     23,                 1.5332,                 1.3122,                 1.0785,                0.75349,                0.36364,                0.68651,                0.28084,                 1.9127,                 2.6133,                 1.4507,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.5156,                  1.268,                 1.1399,                0.63183,                0.72727,                0.77304,                0.19283,                 2.0584,                 2.2801,                 1.4441,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.4771,                 1.2236,                 1.0679,                0.72741,                0.72782,                0.82968,                0.36758,                 1.7422,                 1.9912,                 1.3443,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.4904,                 1.2366,                 1.1016,                0.89432,                0.77171,                0.95051,                 0.3907,                 1.7585,                 2.0329,                  1.317,              0.0015248,              0.0015248,              0.0015248
