                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2256,                 1.6143,                 1.2737,                 0.6442,                0.53011,                0.61337,                0.45418,                 1.0829,                 1.1201,                 1.1251,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2235,                 1.5094,                 1.2669,                0.68488,                0.52748,                0.62705,                0.46456,                 1.0834,                  1.097,                  1.125,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1966,                 1.4184,                 1.2146,                0.68362,                0.54306,                0.63751,                  0.473,                 1.0779,                 1.0746,                 1.1223,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.2302,                 1.4672,                 1.2488,                0.68224,                0.57373,                0.65548,                0.48922,                 1.0664,                 1.0514,                 1.1134,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1477,                 1.2794,                 1.2137,                0.69593,                0.61057,                0.67167,                0.50219,                 1.0534,                 1.0295,                 1.1041,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                   1.11,                 1.3135,                 1.1911,                0.69056,                 0.6289,                0.68572,                0.51301,                  1.039,                0.99742,                 1.0956,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1083,                 1.1718,                 1.1879,                0.72893,                0.63787,                0.69111,                 0.5191,                 1.0327,                0.97916,                 1.0914,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1216,                 1.1757,                 1.1954,                0.71568,                0.63705,                0.69956,                0.52617,                 1.0216,                0.94486,                 1.0869,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0531,                  1.106,                 1.1486,                0.71511,                0.67273,                0.71113,                0.53376,                 1.0105,                0.91489,                 1.0807,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0738,                 1.1534,                 1.1885,                 0.7222,                0.67762,                0.71763,                0.54227,                 1.0054,                0.90107,                 1.0787,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                  1.044,                  1.074,                 1.1444,                0.70598,                0.68599,                0.72595,                0.55481,                 1.0021,                0.88139,                 1.0742,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.1106,                  1.119,                  1.199,                0.76158,                0.67488,                0.73394,                0.56051,                0.99853,                0.86384,                 1.0694,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0478,                  1.058,                 1.1514,                0.77135,                 0.6829,                0.74214,                 0.5693,                0.98792,                0.84007,                 1.0629,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0233,                 1.0543,                 1.1608,                0.78195,                0.67802,                0.75487,                0.57336,                0.98317,                0.82292,                 1.0587,             0.00010486,             0.00010486,             0.00010486
                     15,                0.98998,                0.99404,                 1.1352,                0.81804,                0.66521,                0.76019,                 0.5781,                0.97722,                0.81212,                 1.0559,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0257,                 1.0023,                 1.1373,                0.80178,                0.66283,                0.76159,                0.58407,                0.97195,                0.80183,                 1.0508,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0454,                 1.0365,                 1.1442,                0.81576,                 0.6556,                0.77483,                0.59649,                0.96187,                0.79064,                 1.0442,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.0733,                0.99756,                  1.131,                0.82436,                0.67253,                0.78575,                0.60394,                0.95628,                0.79047,                 1.0395,             0.00010015,             0.00010015,             0.00010015
                     19,                0.97746,                0.93788,                 1.1236,                0.82893,                0.68417,                0.79303,                0.61738,                0.94332,                0.78109,                 1.0323,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                  1.011,                0.98582,                 1.1355,                0.83641,                0.69397,                0.80904,                0.62843,                0.92716,                0.76185,                 1.0247,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 1.0277,                0.93312,                 1.1286,                0.83754,                0.70481,                0.81526,                0.63327,                0.91803,                0.74418,                 1.0212,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.0096,                 0.9072,                 1.1057,                0.83053,                0.71388,                0.81912,                0.63587,                0.91217,                0.72869,                 1.0183,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                 0.9938,                0.93225,                 1.1386,                0.74578,                 0.7787,                0.82441,                 0.6432,                0.90784,                 0.7174,                 1.0159,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.99618,                0.94558,                 1.1141,                0.75622,                 0.7943,                0.82671,                0.64649,                0.89534,                0.70581,                 1.0101,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.97197,                0.87982,                 1.1062,                0.74253,                0.79025,                0.82993,                0.64743,                0.88829,                0.69877,                 1.0047,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                 1.0053,                0.92885,                 1.1094,                 0.8048,                0.75392,                0.83669,                0.64853,                0.88931,                0.69898,                 1.0032,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.96659,                0.89484,                 1.1064,                0.80671,                0.76213,                0.83587,                0.65198,                0.88235,                0.68892,                0.99954,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.98443,                0.87914,                 1.1117,                0.82743,                0.75376,                0.83844,                0.65563,                0.87472,                0.67712,                0.99643,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                 1.0507,                0.92949,                 1.1133,                0.84433,                0.75322,                0.84184,                0.66076,                0.86639,                0.66872,                0.99139,             8.7191e-05,             8.7191e-05,             8.7191e-05
