                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5521,                  1.007,                 1.2749,                0.88814,                 0.7619,                0.91443,                 0.5094,                 1.6242,                  1.019,                 1.2873,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.6462,                 1.0404,                 1.2857,                0.81181,                0.85714,                0.89657,                0.48353,                 1.6884,                 1.0357,                 1.2932,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.586,                0.99139,                   1.27,                0.75245,                 0.8688,                0.88122,                0.45085,                 1.7302,                 1.0452,                 1.3161,               0.001307,               0.001307,               0.001307
                     38,                 1.5754,                0.96504,                  1.276,                0.83324,                0.85714,                0.87247,                0.37583,                 1.9237,                 1.1436,                 1.3907,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.5913,                 1.0776,                 1.2942,                0.79921,                0.75834,                0.85726,                0.39225,                 1.9085,                 1.1392,                 1.3326,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.575,                0.98876,                 1.2577,                0.91131,                0.80952,                 0.8947,                0.45272,                 1.8045,                 1.1236,                 1.3092,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.5278,                0.93705,                 1.2506,                0.94855,                0.87859,                0.90034,                0.40294,                 1.7807,                 1.0924,                 1.3038,              0.0012278,              0.0012278,              0.0012278
                     42,                  1.565,                0.95349,                 1.2379,                0.72868,                0.90476,                0.88382,                0.44688,                 1.7377,                 1.0405,                 1.2682,               0.001208,               0.001208,               0.001208
                     43,                 1.5644,                0.96493,                 1.2748,                0.82459,                0.89573,                0.88526,                0.47905,                 1.6922,                 1.0198,                 1.2646,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5639,                 0.9403,                 1.2578,                0.79924,                0.90476,                0.89496,                0.44972,                   1.84,                 1.0675,                 1.3463,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5335,                0.92524,                  1.226,                0.84574,                0.90476,                 0.8879,                0.42802,                 1.8411,                 1.0413,                 1.3508,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5243,                 0.9043,                 1.2592,                0.77392,                0.90476,                0.88521,                0.43322,                 1.7673,                 1.1152,                 1.3414,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5407,                0.94041,                 1.2831,                0.84001,                0.80952,                0.88552,                0.41258,                 1.8238,                  1.156,                 1.3614,               0.001109,               0.001109,               0.001109
                     48,                 1.5885,                0.97467,                 1.2754,                0.81409,                0.71429,                0.81035,                  0.399,                 1.8073,                 1.1651,                 1.3575,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5544,                0.96223,                 1.2472,                0.81855,                0.85934,                0.87972,                0.41571,                  1.773,                 1.0633,                 1.3376,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5489,                0.93638,                  1.249,                0.69938,                0.85714,                0.85735,                0.38191,                 1.7743,                0.93622,                 1.3039,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5345,                0.94192,                  1.254,                0.69246,                0.85778,                0.87102,                0.42081,                 1.8418,                0.92657,                 1.3202,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5708,                 0.9097,                 1.2624,                0.76896,                0.85714,                0.81949,                0.37185,                 2.0917,                0.96601,                 1.4281,                0.00101,                0.00101,                0.00101
                     53,                 1.5911,                 0.9097,                 1.2859,                0.91707,                0.95238,                0.93285,                 0.4173,                 2.0381,                0.92557,                 1.4041,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.4969,                0.88498,                 1.2357,                0.89218,                0.95238,                0.93922,                0.50847,                 1.7237,                0.83597,                 1.3034,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.4718,                 0.8567,                 1.2146,                0.95218,                0.94838,                 0.9349,                0.50757,                 1.6608,                 0.8643,                 1.3219,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5594,                0.88173,                 1.2447,                0.81647,                0.80952,                0.81217,                 0.4198,                 1.8346,                0.95512,                  1.378,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4236,                0.86899,                 1.1936,                0.83067,                0.80952,                0.79997,                0.41321,                 1.8908,                0.96602,                 1.4028,               0.000911,               0.000911,               0.000911
                     58,                 1.4957,                0.87305,                 1.2331,                0.78833,                0.80952,                0.82045,                0.43286,                 1.8763,                 0.9773,                 1.4275,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5223,                0.90558,                 1.2351,                0.84615,                 0.7863,                0.82116,                0.45394,                 1.8432,                0.97208,                 1.4068,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4667,                0.86583,                  1.216,                0.94717,                0.85397,                0.93794,                0.47743,                 1.7469,                0.96407,                 1.3677,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.5369,                0.89251,                 1.2572,                0.86379,                0.90599,                0.93755,                0.47964,                 1.7564,                0.96273,                 1.3587,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4292,                0.84216,                 1.2182,                0.88815,                0.75654,                0.83645,                0.45512,                 1.8213,                0.98151,                 1.3598,               0.000812,               0.000812,               0.000812
                     63,                 1.4304,                0.86562,                 1.2019,                0.89178,                0.78546,                0.82571,                0.42084,                 1.8905,                 1.0078,                 1.3745,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4934,                0.83627,                 1.2311,                0.87796,                0.85714,                0.82949,                 0.3992,                 1.9407,                 1.0178,                 1.3856,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.5055,                0.85316,                 1.2676,                0.94648,                0.84275,                0.89771,                0.43272,                 1.8777,                0.96608,                 1.3533,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.543,                 0.8495,                 1.2244,                0.84568,                 0.7619,                0.86448,                0.42415,                 1.8052,                0.92338,                 1.3226,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4984,                0.84436,                 1.2518,                0.89352,                0.79962,                0.86554,                0.41317,                 1.8539,                0.93806,                 1.3413,               0.000713,               0.000713,               0.000713
                     68,                 1.4588,                  0.825,                 1.2109,                0.85636,                0.90476,                0.90235,                 0.4328,                 1.9098,                 0.9777,                 1.3646,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4538,                0.80898,                 1.1913,                0.91224,                0.90476,                 0.9092,                0.42628,                 1.8538,                0.98163,                 1.3472,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.4629,                0.81126,                 1.1954,                0.93406,                0.90476,                0.90022,                0.45522,                 1.7242,                0.96068,                 1.3233,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4828,                0.81527,                 1.2124,                 0.9392,                0.90476,                0.89437,                0.41816,                 1.7951,                0.95312,                 1.3392,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.4578,                0.80587,                 1.2236,                0.93656,                0.90476,                0.89248,                0.41539,                 1.8264,                0.93096,                 1.3382,               0.000614,               0.000614,               0.000614
                     73,                 1.4288,                 0.7959,                 1.2102,                0.84596,                0.80952,                 0.8402,                0.43694,                 1.8252,                0.94351,                 1.3664,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.4685,                0.78261,                 1.2054,                 0.8225,                0.80952,                 0.8564,                0.45242,                 1.8457,                0.96756,                 1.4148,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5219,                0.80009,                 1.2341,                0.75984,                0.80952,                0.84463,                0.42536,                  1.867,                0.94055,                 1.3969,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5274,                0.82685,                 1.2429,                0.71933,                0.80952,                0.81605,                0.42297,                 1.8573,                0.92141,                 1.3483,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.4621,                0.78267,                 1.2088,                0.73914,                0.80952,                0.78705,                0.43354,                 1.8446,                0.92349,                 1.3494,               0.000515,               0.000515,               0.000515
                     78,                 1.4511,                 0.7894,                  1.207,                0.76429,                0.80952,                 0.7887,                0.42326,                 1.8942,                0.95244,                 1.3804,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.4095,                0.78601,                 1.2149,                0.79383,                0.80952,                0.78647,                0.41157,                 1.9332,                0.95605,                 1.4063,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.4071,                0.78579,                 1.1826,                0.73897,                0.80952,                0.79043,                  0.401,                 1.9712,                0.93313,                 1.4226,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.4072,                 0.8026,                 1.1899,                0.76677,                0.80952,                0.78693,                0.39358,                 1.9705,                0.95939,                 1.4297,              0.0004358,              0.0004358,              0.0004358
